"TIME_PERIOD"	"Outside_City_Limits"	"Toronto"
"2011-01"	339	1723
"2011-02"	232	1093
"2011-03"	351	1238
"2011-04"	255	1257
"2011-05"	200	909
"2011-06"	221	1236
"2011-07"	146	995
"2011-08"	383	1147
"2011-09"	265	1180
"2011-10"	265	1240
"2011-11"	247	1086
"2011-12"	272	1050
"2012-01"	255	1349
"2012-02"	257	1186
"2012-03"	293	1196
"2012-04"	225	920
"2012-05"	227	1262
"2012-06"	344	1220
"2012-07"	227	944
"2012-08"	222	865
"2012-09"	305	1395
"2012-10"	294	1301
"2012-11"	252	1041
"2012-12"	191	1228
"2013-01"	478	1631
"2013-02"	216	1097
"2013-03"	269	962
"2013-04"	286	1396
"2013-05"	249	1143
"2013-06"	213	997
"2013-07"	306	1354
"2013-08"	232	886
"2013-09"	342	1274
"2013-10"	291	1237
"2013-11"	245	1013
"2013-12"	242	1081
"2014-01"	468	1627
"2014-02"	295	1095
"2014-03"	360	1422
"2014-04"	286	1272
"2014-05"	249	1024
"2014-06"	257	1165
"2014-07"	279	1105
"2014-08"	303	1096
"2014-09"	295	1092
"2014-10"	232	1210
"2014-11"	302	1167
